"","genus","species"
"1","Lamproptera","-"
"2","Leptocircus","-"
"3","Papilio","curius"
"4","Leptocircus","curius"
"5","Leptocircus","curius"
"6","Leptocircus","curius"
"7","Leptocircus","walkeri"
"8","Papilio","meges"
"9","Leptocircus","meges"
"10","Leptocircus","ennius"
"11","meges","akirai"
"12","Leptocircus","virescens"
"13","Leptocircus","meges"
"14","Leptocircus","meges"
"15","Leptocircus","meges"
"16","Leptocircus","decius"
"17","Leptocircus","wilsonii"
"18","Lamproptera","meges"
"19","Lamproptera","meges"
"20","Lamproptera","amplifascia"
"21","Leptocircus","curtius"
